year,title,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,rated,response,language,country,writer,metascore,imdb_rating,director,released_day,released_month,released,actors,genre,awards,runtime,type,imdb_votes,released_year,Budget,Domestic,International
2013,Side Effects,30000000,32172757.0,60288363.0,2013PASS,30000000,32172757.0,60288363.0,R,True,"English, French",USA,Scott Z. Burns,75.0,7.1,Steven Soderbergh,8,February,2013-02-08,"Rooney Mara, Carmen Pelaez, Marin Ireland, Channing Tatum",Crime,2 nominations.,106 min,movie,"1,02,888",2013,30,32,60
2013,Star Trek Into Darkness,190000000,228778661.0,466978661.0,2013FAIL,190000000,228778661.0,466978661.0,PG-13,True,"English, Klingon",USA,"Roberto Orci, Alex Kurtzman, Damon Lindelof, Gene Roddenberry (television series ""Star Trek"")",72.0,7.9,J.J. Abrams,16,May,2013-05-16,"Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban",Action,Nominated for 1 Oscar. Another 6 wins & 27 nominations.,132 min,movie,"2,72,221",2013,190,228,466
2013,Texas Chainsaw 3D,20000000,34341945.0,39093317.0,2013PASS,20000000,34341945.0,39093317.0,R,True,English,USA,"Adam Marcus (screenplay), Debra Sullivan (screenplay), Kirsten Elms (screenplay), Stephen Susco (story), Adam Marcus (story), Debra Sullivan (story), Kim Henkel (characters), Tobe Hooper (characters)",,4.8,John Luessenhop,4,January,2013-01-04,"Alexandra Daddario, Dan Yeager, Trey Songz, Scott Eastwood",Horror,2 wins & 6 nominations.,92 min,movie,"24,491",2013,20,34,39
2013,The Big Wedding,32500000,21819348.0,35770721.0,2013PASS,32500000,21819348.0,35770721.0,R,True,"English, Spanish, Latin",USA,"Justin Zackham (screenplay), Jean-Stéphane Bron (motion picture ""Mon frère se marie""), Karine Sudan (motion picture ""Mon frère se marie"")",28.0,5.6,Justin Zackham,26,April,2013-04-26,"Robert De Niro, Katherine Heigl, Diane Keaton, Amanda Seyfried",Comedy,3 nominations.,89 min,movie,"23,323",2013,32,21,35
2013,The Book Thief,19000000,21345525.0,62045525.0,2013PASS,19000000,21345525.0,62045525.0,PG-13,True,"English, German",USA,"Markus Zusak (novel), Michael Petroni (adaptation)",53.0,7.7,Brian Percival,27,November,2013-11-27,"Roger Allam, Sophie Nélisse, Heike Makatsch, Julian Lehmann",Drama,Nominated for 1 Oscar. Another 3 wins & 10 nominations.,131 min,movie,"30,846",2013,19,21,62
2013,The Call,13000000,51872378.0,58938768.0,2013PASS,13000000,51872378.0,58938768.0,R,True,English,USA,"Richard D'Ovidio (screenplay), Richard D'Ovidio (story), Nicole D'Ovidio (story), Jon Bokenkamp (story)",51.0,6.7,Brad Anderson,15,March,2013-03-15,"Halle Berry, Abigail Breslin, Morris Chestnut, Michael Eklund",Crime,9 nominations.,94 min,movie,"59,802",2013,13,51,58
2013,The Conjuring,20000000,137400141.0,318000141.0,2013PASS,20000000,137400141.0,318000141.0,R,True,"English, Latin",USA,"Chad Hayes, Carey Hayes",68.0,7.6,James Wan,19,July,2013-07-19,"Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston",Horror,4 wins & 8 nominations.,112 min,movie,"1,62,810",2013,20,137,318
2013,The Counselor,25000000,16973715.0,70373715.0,2013PASS,25000000,16973715.0,70373715.0,R,True,English,USA,Cormac McCarthy,48.0,5.5,Ridley Scott,25,October,2013-10-25,"Michael Fassbender, Penélope Cruz, Cameron Diaz, Javier Bardem",Crime,2 nominations.,117 min,movie,"38,384",2013,25,16,70
2013,The Croods,135000000,187168425.0,573068425.0,2013FAIL,135000000,187168425.0,573068425.0,PG,True,English,USA,"Chris Sanders (screenplay), Kirk De Micco (screenplay), John Cleese (story), Kirk De Micco (story), Chris Sanders (story)",55.0,7.3,"Kirk De Micco, Chris Sanders",22,March,2013-03-22,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener",Animation,Nominated for 1 Oscar. Another 5 wins & 24 nominations.,98 min,movie,"90,775",2013,135,187,573
2013,The Family,30000000,36918811.0,51078541.0,2013FAIL,30000000,36918811.0,51078541.0,R,True,"English, French",USA,"Luc Besson (screenplay), Michael Caleo (screenplay), Tonino Benacquista (based on the book by)",42.0,6.4,Luc Besson,13,September,2013-09-13,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo",Comedy,,111 min,movie,"46,576",2013,30,36,51
